id,title,source_location,destination_location,start_ts,end_ts,min_age,max_age,is_hidden,capacity,created_by,description
3,"post title 3","source 3","destination 3","2020-11-22 10:57:00","2020-11-22 10:57:00",14,33,1,25,2,"description 3"
5,"post title 5","source 3","destination 3","2020-11-22 23:11:00","2020-11-22 23:11:00",14,33,1,25,2,"description 3"
6,"post title 7","source 7","destination 7","2007-12-22 00:00:00","2007-12-29 00:00:00",10,21,0,12,11,"description 12"
7,"post title 6","source 6",destination6,"2007-12-22 00:44:00","2007-12-22 00:45:00",10,20,1,11,11,"description 11"
9,"My yiadlksfa","source 2","destintaion 5","2022-12-01 00:00:00","2022-12-24 00:00:00",10,20,0,98,11,description
10,"my title",source,destination,"2022-12-07 00:00:00","2022-12-15 00:00:00",0,10,1,0,11,de
11,7,source,destination,"2022-11-30 00:00:00","2022-12-09 00:00:00",10,20,1,10,13,description
14,"title 1","Source 2","Destinatio 3","2022-12-09 00:00:00","2022-12-15 00:00:00",10,15,0,23,13,"description 2"
17,"title 1","source 12","destination 12","2022-12-02 00:00:00","2022-12-22 00:00:00",10,20,0,10,13,"description 2"
20,"title 1","source 2","destination 3","2022-12-09 00:00:00","2022-12-23 00:00:00",10,20,0,10,23,description
22,sh.harshil@gmail.com,"source 12","destination 13","2022-12-11 00:00:00","2022-12-24 00:00:00",10,20,1,10,17,"description 2"
23,sharshil1299@gmail.com,"source 2",destination3,"2022-12-14 00:00:00","2022-12-22 00:00:00",10,20,1,10,17,"description 3"
24,"Cape Breton Trip","Halifax City","Cape Breton Island","2022-12-15 00:00:00","2022-12-21 00:00:00",22,40,0,9,6,"This is the best trip of the year."
25,"Big Title 1",Waterfront,Citadel,"2022-12-12 00:00:00","2022-12-13 00:00:00",5,10,0,5,6,Describe
26,"Big Title 2 Update",Waterfront,Citadel,"2022-12-12 00:00:00","2022-12-16 00:00:00",4,8,0,7,6,Describe
27,"Test Validation",Waterfront,Citadel,"2022-12-14 00:00:00","2022-12-22 00:00:00",1,2,0,5,6,Describe
28,Validation,Waterfront,Citadel,"2022-12-13 00:00:00","2022-12-14 00:00:00",3,3,0,5,6,Describe
29,"title 1","source 1","destination 2","2022-12-11 00:00:00","2022-12-22 00:00:00",10,20,0,10,24,"description 2"
30,"Testing Dates",Waterfront,Citadel,"2022-12-12 00:00:00","2022-12-12 00:00:00",1,2,0,5,6,Describe
31,"Date debug",Waterfront,Citadel,"2022-12-12 00:00:00","2022-12-13 00:00:00",1,2,0,5,6,Describe
32,Debug,Waterfront,Citadel,"2022-12-13 00:00:00","2022-12-20 00:00:00",4,11,0,8,6,Describe
34,"new test 1","source 1","new destination","2022-12-13 00:00:00","2022-12-14 00:00:00",10,20,0,10,25,"description 2"
35,"post title 3","source 3","destination 3","2020-11-22 10:57:00","2020-11-22 10:57:00",14,33,1,25,25,"description 3"
36,"post title 3","source 3","destination 3","2020-11-22 10:57:00","2020-11-22 10:57:00",14,33,0,25,25,"description 3"
37,"Big Title",Waterfront,Citadel,"2022-12-15 00:00:00","2022-12-29 00:00:00",4,7,0,8,6,Describe
39,"Title 1","Source 1","Destination 2","2022-12-13 00:00:00","2022-12-21 00:00:00",10,20,0,10,25,"description 2"
41,"Test Post 12345",Halifax,Outskirts,"2022-12-14 00:00:00","2022-12-14 00:00:00",20,40,0,5,6,"asdfkjasdkljf as"
42,titlealsdjnalsdn,"siurce 2","destination 3","2022-12-14 00:00:00","2022-12-16 00:00:00",10,20,0,5,23,"description 2"
44,"trip to europw",canada,europe,"2022-12-14 00:00:00","2022-12-15 00:00:00",10,20,0,10,17,"trip to europe"
